id,category,order,scale_code,label,master_png,png_512,png_120,webp_512,webp_120
character-01-older-man-traditional,character,1,,Older man - traditional Kurdish clothing,01-Characters/character-01-older-man-traditional.png,05-App-Ready/Characters/PNG-512/character-01-older-man-traditional.png,,05-App-Ready/Characters/WebP-512/character-01-older-man-traditional.webp,
character-02-woman-traditional,character,2,,Woman - traditional Kurdish clothing,01-Characters/character-02-woman-traditional.png,05-App-Ready/Characters/PNG-512/character-02-woman-traditional.png,,05-App-Ready/Characters/WebP-512/character-02-woman-traditional.webp,
character-03-woman-modern,character,3,,Woman - modern clothing,01-Characters/character-03-woman-modern.png,05-App-Ready/Characters/PNG-512/character-03-woman-modern.png,,05-App-Ready/Characters/WebP-512/character-03-woman-modern.webp,
character-04-man-modern,character,4,,Man - modern clothing,01-Characters/character-04-man-modern.png,05-App-Ready/Characters/PNG-512/character-04-man-modern.png,,05-App-Ready/Characters/WebP-512/character-04-man-modern.webp,
character-05-boy-traditional,character,5,,Boy - traditional Kurdish clothing,01-Characters/character-05-boy-traditional.png,05-App-Ready/Characters/PNG-512/character-05-boy-traditional.png,,05-App-Ready/Characters/WebP-512/character-05-boy-traditional.webp,
character-06-elderly-woman,character,6,,Elderly Kurdish woman,01-Characters/character-06-elderly-woman.png,05-App-Ready/Characters/PNG-512/character-06-elderly-woman.png,,05-App-Ready/Characters/WebP-512/character-06-elderly-woman.webp,
character-07-young-man-traditional,character,7,,Young man - traditional Kurdish clothing,01-Characters/character-07-young-man-traditional.png,05-App-Ready/Characters/PNG-512/character-07-young-man-traditional.png,,05-App-Ready/Characters/WebP-512/character-07-young-man-traditional.webp,
character-08-teen-girl-traditional,character,8,,Teen girl - traditional Kurdish clothing,01-Characters/character-08-teen-girl-traditional.png,05-App-Ready/Characters/PNG-512/character-08-teen-girl-traditional.png,,05-App-Ready/Characters/WebP-512/character-08-teen-girl-traditional.webp,
character-09-school-girl-modern,character,9,,School girl - modern clothing,01-Characters/character-09-school-girl-modern.png,05-App-Ready/Characters/PNG-512/character-09-school-girl-modern.png,,05-App-Ready/Characters/WebP-512/character-09-school-girl-modern.webp,
character-10-bearded-man-traditional,character,10,,Bearded man - traditional Kurdish clothing,01-Characters/character-10-bearded-man-traditional.png,05-App-Ready/Characters/PNG-512/character-10-bearded-man-traditional.png,,05-App-Ready/Characters/WebP-512/character-10-bearded-man-traditional.webp,
level-01,intensity,1,I,Not felt,02-Intensity-Levels/level-01.png,05-App-Ready/Visuals/PNG-512/level-01.png,05-App-Ready/Visuals/PNG-120/level-01.png,05-App-Ready/Visuals/WebP-512/level-01.webp,05-App-Ready/Visuals/WebP-120/level-01.webp
level-02,intensity,2,II,Barely felt,02-Intensity-Levels/level-02.png,05-App-Ready/Visuals/PNG-512/level-02.png,05-App-Ready/Visuals/PNG-120/level-02.png,05-App-Ready/Visuals/WebP-512/level-02.webp,05-App-Ready/Visuals/WebP-120/level-02.webp
level-03,intensity,3,III,Weak shaking,02-Intensity-Levels/level-03.png,05-App-Ready/Visuals/PNG-512/level-03.png,05-App-Ready/Visuals/PNG-120/level-03.png,05-App-Ready/Visuals/WebP-512/level-03.webp,05-App-Ready/Visuals/WebP-120/level-03.webp
level-04,intensity,4,IV,Felt by many,02-Intensity-Levels/level-04.png,05-App-Ready/Visuals/PNG-512/level-04.png,05-App-Ready/Visuals/PNG-120/level-04.png,05-App-Ready/Visuals/WebP-512/level-04.webp,05-App-Ready/Visuals/WebP-120/level-04.webp
level-05,intensity,5,V,Strong shaking,02-Intensity-Levels/level-05.png,05-App-Ready/Visuals/PNG-512/level-05.png,05-App-Ready/Visuals/PNG-120/level-05.png,05-App-Ready/Visuals/WebP-512/level-05.webp,05-App-Ready/Visuals/WebP-120/level-05.webp
level-06,intensity,6,VI,Light damage,02-Intensity-Levels/level-06.png,05-App-Ready/Visuals/PNG-512/level-06.png,05-App-Ready/Visuals/PNG-120/level-06.png,05-App-Ready/Visuals/WebP-512/level-06.webp,05-App-Ready/Visuals/WebP-120/level-06.webp
level-07,intensity,7,VII,Damaging,02-Intensity-Levels/level-07.png,05-App-Ready/Visuals/PNG-512/level-07.png,05-App-Ready/Visuals/PNG-120/level-07.png,05-App-Ready/Visuals/WebP-512/level-07.webp,05-App-Ready/Visuals/WebP-120/level-07.webp
level-08,intensity,8,VIII,Heavy damage,02-Intensity-Levels/level-08.png,05-App-Ready/Visuals/PNG-512/level-08.png,05-App-Ready/Visuals/PNG-120/level-08.png,05-App-Ready/Visuals/WebP-512/level-08.webp,05-App-Ready/Visuals/WebP-120/level-08.webp
level-09,intensity,9,IX,Destructive,02-Intensity-Levels/level-09.png,05-App-Ready/Visuals/PNG-512/level-09.png,05-App-Ready/Visuals/PNG-120/level-09.png,05-App-Ready/Visuals/WebP-512/level-09.webp,05-App-Ready/Visuals/WebP-120/level-09.webp
