id,bumelerze_id,time,year,lat,lon,depth_km,mag,mag_type,source_catalog,source_id,contributing_sources,merged_count
bumelerze-000001,bml08720001,0872-06-22T00:00:00.000Z,872,33.2,47.2,0.0,6.8,Mw,EMME,35,EMME,1
bumelerze-000002,bml10030001,1003-03-21T00:00:00.000Z,1003,37.1,38.8,0.0,6.21,Mw,EMME,50,EMME,1
bumelerze-000003,bml10080001,1008-04-27T18:00:00.000Z,1008,34.6,47.4,0.0,6.9,Mw,EMME,53,EMME,1
bumelerze-000004,bml10370001,1037-12-18T04:00:00.000Z,1037,37.1,38.8,0.0,5.82,Mw,EMME,66,EMME,1
bumelerze-000005,bml10420001,1042-11-04T00:00:00.000Z,1042,38.1,46.3,0.0,7.6,Mw,EMME,70,EMME,1
bumelerze-000006,bml10580001,1058-12-08T18:00:00.000Z,1058,34.3,44.7,0.0,6.4,Mw,EMME,78,EMME,1
bumelerze-000007,bml11180001,1118-04-03T00:00:00.000Z,1118,33.0,46.0,0.0,5.9,Mw,EMME,104,EMME,1
bumelerze-000008,bml11190001,1119-12-10T00:00:00.000Z,1119,35.7,49.9,0.0,6.5,Mw,EMME,105,EMME,1
bumelerze-000009,bml11300001,1130-02-27T18:00:00.000Z,1130,33.6,45.7,0.0,6.8,Mw,EMME,108,EMME,1
bumelerze-000010,bml11350001,1135-07-25T00:00:00.000Z,1135,36.1,45.9,0.0,6.1,Mw,EMME,110,EMME,1
bumelerze-000011,bml11350002,1135-08-14T00:00:00.000Z,1135,36.1,45.9,0.0,6.4,Mw,EMME,111,EMME,1
bumelerze-000012,bml11500001,1150-04-01T00:00:00.000Z,1150,34.5,45.9,0.0,5.9,Mw,EMME,116,EMME,1
bumelerze-000013,bml11790001,1179-04-29T18:00:00.000Z,1179,36.5,44.1,0.0,6.6,Mw,EMME,127,EMME,1
bumelerze-000014,bml12080001,1208-02-14T00:00:00.000Z,1208,38.7,42.5,0.0,6.8,Mw,EMME,136,EMME,1
bumelerze-000015,bml12260001,1226-11-18T06:00:00.000Z,1226,35.3,46.0,0.0,6.5,Mw,EMME,143,EMME,1
bumelerze-000016,bml12750001,1275-10-03T00:00:00.000Z,1275,38.82,42.63,0.0,7.1,Mw,EMME,156,EMME,1
bumelerze-000017,bml13040001,1304-11-07T00:00:00.000Z,1304,38.5,45.5,0.0,6.7,Mw,EMME,168,EMME,1
bumelerze-000018,bml13160001,1316-01-05T00:00:00.000Z,1316,33.5,49.4,0.0,6.2,Mw,EMME,173,EMME,1
bumelerze-000019,bml14850001,1485-08-15T00:00:00.000Z,1485,36.7,50.5,0.0,7.2,Mw,EMME,237,EMME,1
bumelerze-000020,bml16080001,1608-04-20T00:00:00.000Z,1608,36.4,50.5,0.0,7.6,Mw,EMME,290,EMME,1
bumelerze-000021,bml16410001,1641-02-05T00:00:00.000Z,1641,37.9,46.1,0.0,6.8,Mw,EMME,301,EMME,1
bumelerze-000022,bml16480001,1648-03-31T05:00:00.000Z,1648,38.3,43.5,0.0,6.6,Mw,EMME,307,EMME,1
bumelerze-000023,bml16690001,1669-01-04T00:00:00.000Z,1669,38.72,42.35,0.0,6.2,Mw,EMME,328,EMME,1
bumelerze-000024,bml16780001,1678-02-03T00:00:00.000Z,1678,37.2,50.0,0.0,6.5,Mw,EMME,340,EMME,1
bumelerze-000025,bml16820001,1682-05-19T00:00:00.000Z,1682,38.72,42.35,0.0,6.2,Mw,EMME,344,EMME,1
bumelerze-000026,bml16960001,1696-04-14T00:00:00.000Z,1696,39.1,43.9,0.0,7.1,Mw,EMME,360,EMME,1
bumelerze-000027,bml16960002,1696-06-10T00:00:00.000Z,1696,38.4,42.11,0.0,6.6,Mw,EMME,361,EMME,1
bumelerze-000028,bml17010001,1701-03-07T00:00:00.000Z,1701,38.5,43.4,0.0,6.21,Mw,EMME,364,EMME,1
bumelerze-000029,bml17010002,1701-11-30T00:00:00.000Z,1701,38.5,43.4,0.0,5.02,Mw,EMME,365,EMME,1
bumelerze-000030,bml17030001,1703-03-15T00:00:00.000Z,1703,38.72,42.35,0.0,5.9,Mw,EMME,368,EMME,1
bumelerze-000031,bml17050001,1705-01-27T00:00:00.000Z,1705,38.7,41.7,0.0,6.8,Mw,EMME,369,EMME,1
bumelerze-000032,bml17150001,1715-03-08T06:00:00.000Z,1715,38.4,43.5,0.0,6.6,Mw,EMME,375,EMME,1
bumelerze-000033,bml17170001,1717-03-12T00:00:00.000Z,1717,38.1,46.3,0.0,5.9,Mw,EMME,376,EMME,1
bumelerze-000034,bml17210001,1721-04-26T00:00:00.000Z,1721,37.9,46.7,0.0,7.7,Mw,EMME,388,EMME,1
bumelerze-000035,bml17800001,1780-01-08T00:00:00.000Z,1780,38.2,46.0,0.0,7.6,Mw,EMME,450,EMME,1
bumelerze-000036,bml17840001,1784-07-18T00:00:00.000Z,1784,39.5,40.2,0.0,7.5,Mw,EMME,454,EMME,1
bumelerze-000037,bml18080001,1808-12-16T00:00:00.000Z,1808,36.4,50.3,0.0,5.9,Mw,EMME,475,EMME,1
bumelerze-000038,bml18400001,1840-07-02T19:00:00.000Z,1840,39.5,43.9,0.0,7.5,Mw,EMME,515,EMME,1
bumelerze-000039,bml18410001,1841-09-22T16:00:00.000Z,1841,39.5,44.1,0.0,5.82,Mw,EMME,519,EMME,1
bumelerze-000040,bml18430001,1843-04-18T00:00:00.000Z,1843,38.7,44.9,0.0,5.9,Mw,EMME,524,EMME,1
bumelerze-000041,bml18440001,1844-05-13T00:00:00.000Z,1844,37.4,48.0,0.0,6.9,Mw,EMME,529,EMME,1
bumelerze-000042,bml18530001,1853-06-11T00:00:00.000Z,1853,32.6,50.3,0.0,5.5,Mw,EMME,568,EMME,1
bumelerze-000043,bml18540001,1854-10-01T00:00:00.000Z,1854,38.0,50.0,0.0,5.9,Mw,EMME,570,EMME,1
bumelerze-000044,bml18570001,1857-04-09T00:00:00.000Z,1857,38.4,42.1,0.0,6.8,Mw,EMME,585,EMME,1
bumelerze-000045,bml18610001,1861-05-24T00:00:00.000Z,1861,39.4,47.5,0.0,6.0,Mw,EMME,601,EMME,1
bumelerze-000046,bml18620001,1862-12-19T00:00:00.000Z,1862,39.3,47.8,0.0,6.1,Mw,EMME,606,EMME,1
bumelerze-000047,bml18630001,1863-12-30T00:00:00.000Z,1863,38.2,48.6,0.0,6.1,Mw,EMME,610,EMME,1
bumelerze-000048,bml18640001,1864-12-07T00:00:00.000Z,1864,33.2,45.9,0.0,6.4,Mw,EMME,614,EMME,1
bumelerze-000049,bml18660001,1866-05-12T00:00:00.000Z,1866,39.2,41.0,0.0,7.15,Mw,EMME,629,EMME,1
bumelerze-000050,bml18690001,1869-10-06T00:00:00.000Z,1869,38.4,42.1,0.0,5.42,Mw,EMME,648,EMME,1
bumelerze-000051,bml18710001,1871-03-17T00:00:00.000Z,1871,38.0,43.0,0.0,6.9,Mw,EMME,659,EMME,1
bumelerze-000052,bml18740001,1874-05-03T00:00:00.000Z,1874,38.65,39.2,0.0,6.21,Mw,EMME,685,EMME,1
bumelerze-000053,bml18750001,1875-03-21T00:00:00.000Z,1875,30.5,50.5,0.0,5.7,Mw,EMME,693,EMME,1
bumelerze-000054,bml18750002,1875-03-27T00:00:00.000Z,1875,38.5,39.5,0.0,6.21,Mw,EMME,694,EMME,1
bumelerze-000055,bml18760001,1876-09-28T00:00:00.000Z,1876,33.1,49.7,0.0,5.8,Mw,EMME,711,EMME,1
bumelerze-000056,bml18760002,1876-10-20T00:00:00.000Z,1876,35.8,49.8,0.0,5.7,Mw,EMME,712,EMME,1
bumelerze-000057,bml18790001,1879-03-22T00:00:00.000Z,1879,37.8,47.9,0.0,6.7,Mw,EMME,725,EMME,1
bumelerze-000058,bml18790002,1879-03-22T01:00:00.000Z,1879,38.15,48.17,0.0,6.2,Mw,EMME,726,EMME,1
bumelerze-000059,bml18800001,1880-07-04T00:00:00.000Z,1880,36.5,47.5,0.0,5.6,Mw,EMME,729,EMME,1
bumelerze-000060,bml18810001,1881-05-30T00:00:00.000Z,1881,38.5,43.3,0.0,6.9,Mw,EMME,736,EMME,1
bumelerze-000061,bml18830001,1883-05-03T00:00:00.000Z,1883,37.9,47.2,0.0,6.2,Mw,EMME,746,EMME,1
bumelerze-000062,bml18840001,1884-02-10T00:00:00.000Z,1884,37.8,42.6,0.0,6.21,Mw,EMME,753,EMME,1
bumelerze-000063,bml18900001,1890-11-07T00:00:00.000Z,1890,38.35,38.3,0.0,5.42,Mw,EMME,793,EMME,1
bumelerze-000064,bml18910001,1891-04-03T00:00:00.000Z,1891,39.1,42.5,0.0,6.2,Mw,EMME,799,EMME,1
bumelerze-000065,bml18930001,1893-03-02T00:00:00.000Z,1893,38.4,38.7,0.0,6.77,Mw,EMME,812,EMME,1
bumelerze-000066,bml18960001,1896-01-04T00:00:00.000Z,1896,37.8,48.4,0.0,6.7,Mw,EMME,831,EMME,1
bumelerze-000067,bml19000001,1900-02-24T00:30:00.000Z,1900,38.45,44.87,0.0,5.4,Mw,EMME,858,EMME,1
bumelerze-000068,bml19010001,1901-05-20T12:29:00.000Z,1901,36.39,50.48,0.0,5.4,Mw,EMME,874,EMME,1
